				Contrast 24h vs zero			
ybiI	189.4280882	234.3872093	144.4689671	0.616368818	-0.698134217	5.26E-05	0.000391708
t4323	2774.744747	2241.95357	3307.535924	1.475291892	0.561000426	5.30E-05	0.000393656
srlE	53.88768649	35.47059608	72.3047769	2.038442679	1.027467389	5.38E-05	0.000399393
yibL	397.9223144	491.409027	304.4356018	0.619515689	-0.690787277	5.43E-05	0.000402479
sppA	903.3160822	727.9337403	1078.698424	1.481863478	0.56741254	5.47E-05	0.000404342
degQ	1533.985432	1251.302448	1816.668416	1.451821994	0.537864578	5.48E-05	0.000404691
secB	1702.438954	2056.852722	1348.025185	0.655382454	-0.609591045	5.52E-05	0.000406877
t1552	241.2434881	304.0446114	178.4423648	0.586895337	-0.768824848	5.55E-05	0.000407642
yijD	1695.051601	1369.80221	2020.300991	1.474885188	0.560602653	5.54E-05	0.000407642
astC	903.8118416	740.2205685	1067.403115	1.442006829	0.528077997	5.59E-05	0.000409578
map	1532.685267	1856.830521	1208.540013	0.650861777	-0.619576903	5.66E-05	0.000414032
t0993	556.2307618	453.6439739	658.8175497	1.452278852	0.538318492	5.80E-05	0.000423562
t1247	320.808923	388.8305324	252.7873136	0.650122078	-0.621217447	5.83E-05	0.000425061
t1027	275.4904566	342.8425118	208.1384014	0.607096244	-0.720002846	5.98E-05	0.000435732
uhpB	81.44443502	53.05353583	109.8353342	2.070273592	1.049821437	6.09E-05	0.000441794
ftsY	2030.163265	1633.885699	2426.440831	1.485073792	0.570534619	6.08E-05	0.000441794
t2003	604.3375521	723.3514562	485.323648	0.670937542	-0.575749624	6.11E-05	0.000441825
tolB	3506.992813	2832.309507	4181.676118	1.476419194	0.562102398	6.11E-05	0.000441825
yjcS	917.8546166	748.8419685	1086.867265	1.451397371	0.537442562	6.23E-05	0.000449751
sapA	590.7368776	722.8355629	458.6381924	0.634498655	-0.656310989	6.25E-05	0.000450662
t3108	5303.982246	6496.361089	4111.603404	0.632908693	-0.659930712	6.35E-05	0.000456774
flhD	998.222807	1188.698352	807.747262	0.679522488	-0.557406798	6.46E-05	0.000464115
cadC	1521.681969	1847.09827	1196.265668	0.647645925	-0.626722803	6.48E-05	0.00046467
t4008	392.2685986	316.2270083	468.3101888	1.480930396	0.566503836	6.80E-05	0.000486632
t1718	267.2252576	327.7738759	206.6766394	0.630546406	-0.665325543	6.81E-05	0.000487005
pmbA	1785.82799	1458.169258	2113.486721	1.449411109	0.535466857	6.84E-05	0.000487948
t3734	959.7690148	1151.830447	767.7075831	0.666510931	-0.585299559	6.97E-05	0.000496475
yiaL	384.6209685	470.1767366	299.0652004	0.636069752	-0.652743113	6.98E-05	0.000496475
rplM	2315.658181	2791.290489	1840.025873	0.659202573	-0.601206221	7.03E-05	0.000499593
t1907	2135.933715	1588.523307	2683.344124	1.689206643	0.756345826	7.11E-05	0.000504362
t0044	293.0266518	225.8137801	360.2395234	1.595294686	0.673822946	7.15E-05	0.000504759
yebE	7087.116536	5601.339377	8572.893695	1.530507816	0.614010412	7.15E-05	0.000504759
manX	4194.009843	3377.051619	5010.968067	1.483829278	0.569325113	7.15E-05	0.000504759
trmH	302.6016487	365.4558809	239.7474166	0.656022872	-0.60818198	7.31E-05	0.000514751
envZ	402.3561026	323.0255508	481.6866545	1.491171993	0.576446669	7.36E-05	0.00051768
t0731	63.56456276	41.69006336	85.43906215	2.049386719	1.035192246	7.53E-05	0.000528843
t2815	33.88428824	20.63479405	47.13378244	2.284189623	1.191682422	7.59E-05	0.000531803
t1240	259.8967667	320.3967649	199.3967685	0.622343264	-0.684217552	7.68E-05	0.000537768
kbl	1906.367821	1553.6942	2259.041441	1.453980739	0.540008158	7.82E-05	0.000546135
ruvB	731.4819863	593.545455	869.4185176	1.464788434	0.550692305	7.85E-05	0.000547623
srlM	139.4840087	175.3407471	103.6272702	0.591005068	-0.758757592	7.91E-05	0.000550594
t1906	941.6873764	615.8581394	1267.516613	2.058130813	1.041334682	7.99E-05	0.000555883
yhdJ	126.647111	160.6047457	92.68947638	0.57712788	-0.793037069	8.01E-05	0.000555996
srfA	104.1883794	135.8452039	72.53155495	0.533927977	-0.905282948	8.09E-05	0.000560534
pta	429.5856405	348.8269134	510.3443676	1.463030368	0.548959716	8.12E-05	0.000561993
pgsA	1302.386981	1567.238811	1037.535151	0.662014713	-0.595064814	8.22E-05	0.000568062
hycG	14.49325285	6.67627348	22.31023221	3.341719341	1.740590572	8.24E-05	0.000568062
t1547	123.4909365	161.9722589	85.00961414	0.524840579	-0.930048826	8.29E-05	0.000569894
t1066	576.7740302	694.925127	458.6229333	0.659960211	-0.599549048	8.29E-05	0.000569894
dmsA	188.0502156	232.9508	143.1496312	0.614505858	-0.702501331	8.52E-05	0.000585223
sprB	248.893795	184.7877825	312.9998075	1.693833885	0.760292396	8.57E-05	0.000587538
yraN	116.2880638	148.715306	83.86082158	0.563901752	-0.82648427	8.69E-05	0.000594404
t3973	109.0104437	73.30489121	144.7159961	1.974165621	0.981243029	8.89E-05	0.000606607
t3568	83.33572702	56.45871885	110.2127352	1.952094157	0.965022641	8.89E-05	0.000606607
pgk	3865.966924	3150.433827	4581.500022	1.454244169	0.540269519	8.91E-05	0.000607051
t1826	367.9864307	450.4739209	285.4989405	0.633774625	-0.657958195	8.99E-05	0.000610676
yaiA	270.5371584	327.7554777	213.3188391	0.650847518	-0.619608511	8.99E-05	0.000610676
ygbE	307.4651869	386.1825126	228.7478611	0.592330967	-0.755524583	9.17E-05	0.000621888
codB	183.8841258	228.1197238	139.6485278	0.612172089	-0.707990827	9.35E-05	0.000632959
hepA	406.4170227	319.4477768	493.3862686	1.544497425	0.627137466	9.77E-05	0.00066014
apbA	775.2235941	633.707103	916.7400852	1.446630598	0.532696572	9.81E-05	0.000661831
rplU	1309.730831	1553.710816	1065.750845	0.685939001	-0.543847809	9.84E-05	0.000662782
t3148	806.381072	968.2404045	644.5217394	0.665662925	-0.587136278	9.91E-05	0.00066626
t2501	297.9459293	370.599733	225.2921256	0.607912272	-0.718064952	9.93E-05	0.000666846
t2451	133.6064977	176.9144836	90.29851189	0.510407684	-0.970278045	0.000102345	0.000685651
yecI	329.9489852	397.8957257	262.0022447	0.658469613	-0.602811229	0.000102419	0.000685651
gdhA	3765.239043	4602.297525	2928.180561	0.636243212	-0.652349735	0.000102986	0.000688379
rplR	2804.726305	2239.570549	3369.88206	1.504700114	0.589475987	0.000106943	0.000713725
argE	937.0399906	757.6740171	1116.405964	1.473464761	0.559212557	0.000110527	0.000736506
t3072	257.58154	201.3000193	313.8630608	1.559180481	0.640787935	0.000111849	0.000744164
t0645	73.09446272	99.15840656	47.03051887	0.47429684	-1.076137839	0.000112175	0.000745189
malZ	145.6802082	111.9788128	179.3816035	1.601924498	0.679806153	0.000114014	0.000756237
t1329	152.9809071	208.5484565	97.41335761	0.467101791	-1.098191117	0.000117639	0.000779085
eutE	30.92321897	17.66848444	44.17795349	2.500381605	1.322148294	0.000120144	0.000794461
glnH	4330.268838	5229.579015	3430.958661	0.65606785	-0.60808307	0.00012156	0.000802592
glpT	1668.711995	1206.246744	2131.177245	1.766783833	0.821125536	0.000123405	0.000813532
pyrD	87.69444893	63.30769511	112.0812027	1.770419892	0.824091566	0.000124326	0.00081711
ybbO	344.6088502	473.6720565	215.5456439	0.45505248	-1.135895158	0.000124298	0.00081711
t1665	1079.044002	1307.282776	850.8052275	0.65081958	-0.619670439	0.000124548	0.000817324
t4592	233.7257074	283.9286971	183.5227176	0.646369034	-0.629570012	0.000125034	0.000819268
astD	79.79247846	57.27919248	102.3057644	1.786089503	0.836804377	0.000125717	0.000822491
qor	916.2683659	755.830199	1076.706533	1.424534947	0.510491015	0.000126451	0.000826047
t3166	95366.60286	46802.47067	143930.735	3.075280706	1.620718103	0.000128732	0.000839675
t1352	30.98137635	44.27112037	17.69163233	0.399620163	-1.323298719	0.000130299	0.000848617
osmC	329.7418117	407.0161455	252.4674778	0.620288607	-0.688988468	0.000131807	0.000857141
t3413	557.7324895	659.948167	455.5168119	0.690231195	-0.534848417	0.00013234	0.000859316
t0457	1917.249966	1557.547874	2276.952059	1.46188255	0.547827408	0.00013285	0.000861328
t4342	876.3272786	717.2049631	1035.449594	1.443728986	0.529799948	0.000133161	0.000862051
t3215	1325.044787	1636.09913	1013.990444	0.619761007	-0.690216107	0.000134223	0.000867625
t2133	83.16559929	108.0296655	58.30153307	0.53968077	-0.889821813	0.000135601	0.000875223
trpH	963.9781303	1151.446462	776.5097991	0.674377685	-0.568371296	0.000137859	0.000888471
ompH	1323.479344	1577.169832	1069.788856	0.67829655	-0.560011939	0.000140316	0.000902956
spaR	126.1435675	95.91651833	156.3706167	1.630278282	0.705118247	0.000142697	0.000916916
rhtC	238.7054528	290.2588823	187.1520232	0.644776214	-0.633129572	0.000145083	0.000930861
kefC	90.50709274	67.98502074	113.0291647	1.662559833	0.733406262	0.000147777	0.000946735
yhjO	520.7041656	422.9545101	618.4538211	1.46222302	0.54816337	0.000152483	0.000975439
staE	256.9524292	314.3509311	199.5539272	0.634812585	-0.655597365	0.000157652	0.001007014
t0641	1098.730058	1360.915876	836.54424	0.614692102	-0.702064148	0.000158582	0.001011456
t1328	465.4471081	557.9466505	372.9475657	0.66842872	-0.581154372	0.000161138	0.001026243
pdxK	114.2838958	83.47656428	145.0912272	1.738107318	0.797517163	0.000163298	0.001036942
ygcX	201.6783161	157.7099422	245.64669	1.557585315	0.639311187	0.000163239	0.001036942
tehA	409.8537179	501.7522639	317.955172	0.633689561	-0.658151844	0.00016354	0.001036951
rffA	197.8983279	155.8771868	239.9194689	1.539157037	0.622140434	0.0001659	0.001050377
t4122	688.5400205	811.7108315	565.3692095	0.696515542	-0.52177255	0.000167789	0.001060778
ybaD	1196.50386	1420.600443	972.4072773	0.684504416	-0.546868245	0.000169667	0.001071085
t3835	694.0380374	574.1043463	813.9717285	1.417811472	0.503665709	0.00017012	0.00107238
pth	231.2962636	282.8047269	179.7878003	0.635731242	-0.653511106	0.00017084	0.001075348
polA	3853.910199	3174.494195	4533.326202	1.428046776	0.514043236	0.00017196	0.001080821
t3851	802.7822815	953.8759309	651.6886322	0.683200625	-0.5496188	0.000173373	0.00108812
ksgA	587.1262976	712.4060266	461.8465685	0.648291215	-0.625286072	0.000177619	0.001113146
prlC	4259.948531	3429.408617	5090.488444	1.484363344	0.56984428	0.00018427	0.001153153
cobS	142.3446467	110.6628585	174.0264349	1.572582141	0.653135375	0.00018473	0.001154362
t1989	1614.589758	1915.155355	1314.024162	0.686118835	-0.543469623	0.000188503	0.001176235
ftsJ	5230.951166	6288.96315	4172.939182	0.663533731	-0.591758288	0.000189304	0.00117953
potE	118.9766848	149.9064227	88.04694679	0.58734606	-0.767717315	0.000193016	0.001200928
t4466	315.9304063	376.9235365	254.9372761	0.676363377	-0.56412955	0.000197409	0.001226495
t3976	989.5110161	821.5157618	1157.50627	1.408988511	0.494659848	0.000198132	0.001229215
ubiA	644.0531478	520.8646707	767.241625	1.473015292	0.558772408	0.000199032	0.00123303
pheA	849.907749	688.282994	1011.532504	1.469646225	0.55546891	0.000206494	0.001277425
gtrA	210.2862653	259.9781177	160.594413	0.617722808	-0.694968494	0.000210339	0.001299349
yheO	255.2027025	314.2695684	196.1358365	0.624100633	-0.68014942	0.000211341	0.001303674
smpA	3806.12121	4572.951511	3039.29091	0.664623472	-0.589390851	0.00021458	0.001321766
dgt	912.1789965	758.8149971	1065.542996	1.404219737	0.489768712	0.000218572	0.001342522
ilvC	534.857815	439.0028134	630.7128166	1.436694247	0.522753065	0.000218519	0.001342522
cheZ	530.4187813	419.9222342	640.9153284	1.526271477	0.610011596	0.000219242	0.001344725
yhjH	182.0520318	131.5901674	232.5138962	1.766954938	0.821265248	0.000219853	0.001345741
cspD	18920.29632	23645.56586	14195.02677	0.600325104	-0.736184097	0.000220031	0.001345741
spaI	178.7798661	142.794864	214.7648682	1.504009754	0.588813923	0.000223227	0.001363355
zntR	1221.293798	1439.832896	1002.7547	0.696438248	-0.521932657	0.000230707	0.001407055
uhpA	79.14531697	57.2407828	101.0498511	1.765347121	0.81995189	0.000232769	0.001417624
yijP	386.4731594	307.1216787	465.8246401	1.516742947	0.600976603	0.000235931	0.001430831
t3604	161.3233044	124.8270895	197.8195193	1.584748312	0.664253731	0.000235672	0.001430831
t0165	591.1973105	441.0731221	741.3214988	1.680722451	0.749081502	0.000235408	0.001430831
rdgC	1114.110096	1328.411189	899.8090039	0.677357291	-0.562011071	0.000236995	0.001433981
t0729	48.19530313	29.20317484	67.18743142	2.300689284	1.202066156	0.000237115	0.001433981
ispB	1534.585785	1831.425552	1237.746018	0.675837474	-0.565251748	0.000237619	0.001435017
bioA	47.81126851	31.07059875	64.55193827	2.077589131	1.054910372	0.000240836	0.001452416
ybdF	760.593567	904.7448675	616.4422666	0.681343756	-0.553545234	0.000242945	0.001463089
t0087	69.34148332	46.20604442	92.47692223	2.001403137	1.001011794	0.000246912	0.001484911
yheS	400.7785431	328.5141671	473.042919	1.439946786	0.526015497	0.000248744	0.001493849
t3282	345.9235295	420.5056904	271.3413687	0.645273952	-0.632016306	0.000249422	0.001494469
t3541	503.1015403	386.5773415	619.6257392	1.60285064	0.680639996	0.00024954	0.001494469
yihZ	533.9766983	437.3910684	630.5623282	1.441644272	0.527715221	0.000253887	0.001518396
t1840	563.5983728	669.99826	457.1984857	0.682387572	-0.551336724	0.000255029	0.001523122
fumC	6683.718049	5369.462242	7997.973856	1.48952977	0.574856958	0.000257812	0.001537616
aroA	594.9068408	712.5914775	477.2222042	0.669699567	-0.578414059	0.000264	0.001572347
srlA	61.93749334	33.61397625	90.26101043	2.685222651	1.425041717	0.000268366	0.001596152
argG	528.5685981	645.8771453	411.2600509	0.636746561	-0.651208833	0.000269218	0.001599013
phnW	82.27887627	61.92479477	102.6329578	1.657380669	0.728905	0.000269714	0.001599758
smp	259.5320121	318.9341872	200.1298369	0.627495718	-0.67232248	0.000270632	0.001603004
t1865	1388.430498	1121.881194	1654.979802	1.475182765	0.560893705	0.000276752	0.001637006
livH	69.55641319	51.95876787	87.1540585	1.677369616	0.746200628	0.000279943	0.001653618
t3907	291.8119222	229.1152208	354.5086236	1.547294075	0.629747418	0.000280969	0.001657408
t0367	483.0135227	574.5676138	391.4594316	0.681311341	-0.553613872	0.000283807	0.001671867
t3656	86.16502237	64.07731709	108.2527276	1.68940793	0.756517728	0.000286344	0.001684513
trmA	857.0143108	705.1925242	1008.836097	1.430582518	0.516602717	0.000288944	0.001695192
t3103	272.3647113	327.6798539	217.0495688	0.662383013	-0.594262421	0.000288722	0.001695192
t3567	76.6822146	56.3974397	96.9669895	1.719350914	0.781864024	0.000290417	0.001701521
nagA	859.3255861	1025.519308	693.1318645	0.675883778	-0.565152906	0.000297624	0.001739027
fdoI	1541.898097	1285.648376	1798.147818	1.398631112	0.484015503	0.000297366	0.001739027
t4281	495.4596643	590.8459574	400.0733712	0.677119588	-0.56251744	0.00029893	0.001744294
efp	2155.767776	2547.652654	1763.882898	0.692356117	-0.530413809	0.000299495	0.001745236
pykF	1776.005216	2133.049478	1418.960954	0.66522646	-0.58808254	0.000300525	0.001746522
t0973	879.2014426	1089.41929	668.9835952	0.614073572	-0.703516579	0.00030045	0.001746522
rhlB	1897.632534	2270.88181	1524.383259	0.671273711	-0.575026952	0.000301413	0.001749328
t2025	471.7074748	578.2570455	365.157904	0.631480251	-0.66319048	0.000302123	0.001751094
t1004	406.8949917	486.7044019	327.0855815	0.672041552	-0.573377659	0.000305681	0.001769345
t4325	4138.092362	3417.584922	4858.599802	1.421647132	0.507563417	0.000309454	0.001788783
nuoA	3590.465337	4373.128225	2807.80245	0.642058112	-0.639224216	0.000313771	0.001811312
tsx	1868.124744	1538.666326	2197.583161	1.428238939	0.514237357	0.000315485	0.001818779
yaiI	178.4032171	223.1201024	133.6863318	0.59916758	-0.738968531	0.000316775	0.001823781
srfB	203.5012746	247.9189449	159.0836043	0.641675869	-0.640083366	0.000319359	0.001836207
t3849	179.0868559	219.3986518	138.7750599	0.63252467	-0.660806344	0.000324024	0.001860551
nagC	790.960937	946.7241867	635.1976874	0.670942706	-0.57573852	0.000325566	0.001866925
t1054	606.6389093	731.1494926	482.1283261	0.659411421	-0.600749219	0.000326639	0.001870593
cII	2866.624975	1902.462604	3830.787346	2.013594032	1.009772846	0.000329834	0.001886386
t3041	22.11390487	12.26096601	31.96684372	2.607204333	1.382503655	0.00033388	0.001907
t1645	648.6194201	776.4398611	520.798979	0.670752501	-0.576147565	0.000336886	0.00192163
nrdB	259.5984365	322.2461427	196.9507303	0.611181033	-0.710328323	0.000339739	0.001935348
t1514	233.3313299	303.1452228	163.5174369	0.539402981	-0.8905646	0.000346637	0.001972038
t1164	510.5719786	600.704807	420.4391503	0.699909748	-0.514759193	0.000347228	0.001972805
ybbF	599.9253039	724.8069924	475.0436155	0.655407054	-0.609536895	0.000350062	0.001986293
rplL	6013.3548	7249.585515	4777.124085	0.658951339	-0.601756162	0.000352687	0.001996684
cvpA	345.6815368	416.3497014	275.0133722	0.660534573	-0.59829402	0.000352818	0.001996684
pcm	359.2486629	429.8895852	288.6077406	0.671353181	-0.574856165	0.0003621	0.002042734
t1926	104.8427646	136.4573985	73.22813075	0.536637306	-0.897980742	0.000363321	0.002042734
t4475	38.68442383	25.44776135	51.92108631	2.04030074	1.028781821	0.000361433	0.002042734
nupG	545.7166768	450.9000875	640.533266	1.42056585	0.506465709	0.000363242	0.002042734
treB	1664.454136	1376.522889	1952.385383	1.418345745	0.504209256	0.000362909	0.002042734
pdxJ	334.4735693	275.765853	393.1812855	1.425779447	0.51175083	0.000368143	0.002067155
panB	351.310458	287.8056969	414.8152191	1.441303017	0.527373677	0.000371373	0.002082583
nlpB	2405.925163	1990.059791	2821.790534	1.41794259	0.503799121	0.000378234	0.002118304
citF	91.20812232	67.5234784	114.8927662	1.701523218	0.766826837	0.000384792	0.002152243
t2953	530.1432833	632.5481337	427.7384329	0.676214837	-0.564446425	0.00038645	0.002156535
himD	1685.533264	2031.405844	1339.660684	0.659474663	-0.600610863	0.000387058	0.002156535
t1010	56.55759085	74.0182595	39.09692221	0.528206452	-0.920826172	0.000386566	0.002156535
dmsC	125.7012402	157.1501484	94.25233209	0.59975974	-0.737543414	0.00038859	0.002162283
yjgF	3785.186362	4581.592867	2988.779857	0.652345144	-0.616292625	0.000390511	0.002170174
cbiT	58.84516779	83.48398079	34.20635478	0.40973555	-1.287235024	0.000395908	0.002197343
lldP	172.4620247	134.241382	210.6826675	1.569431604	0.650242158	0.000401938	0.002227942
tolA	903.6393641	736.4647722	1070.813956	1.453992094	0.540019424	0.000403939	0.002236166
yojL	41.08135321	23.86435208	58.29835433	2.44290539	1.288597991	0.000408371	0.002257803
t1134	121.6467131	92.60033184	150.6930944	1.6273494	0.702524038	0.000412324	0.002276748
dsrB	269.4661496	339.0285884	199.9037109	0.589636738	-0.762101679	0.000418288	0.002303785
t1139	236.2562111	291.2275284	181.2848939	0.622485432	-0.68388802	0.000417963	0.002303785
t4441	125.4986521	154.8370117	96.16029259	0.621042034	-0.687237178	0.000421356	0.002317728
rnr	3568.47867	2982.419198	4154.538142	1.393009455	0.47820505	0.000424682	0.002333051
t4548	31.40003024	45.25504183	17.54501866	0.387692022	-1.367017049	0.000426855	0.002342005
proP	1072.624608	876.9111728	1268.338043	1.446370034	0.532436694	0.00042926	0.002352217
xapB	160.6127891	126.3046532	194.9209251	1.543260048	0.625981184	0.000429975	0.0023524
clpA	12280.66328	9940.495145	14620.83141	1.470835325	0.556635731	0.000430384	0.0023524
mltA	492.5436092	603.730588	381.3566304	0.631666902	-0.662764114	0.000444591	0.002426982
mtn	606.7865275	507.7261737	705.8468813	1.390211728	0.475304621	0.000446028	0.002431755
emrR	604.5216045	714.254235	494.788974	0.692735093	-0.529624334	0.000448951	0.002444601
t0867	128.0454206	160.2356517	95.85518958	0.598213872	-0.74126673	0.000454683	0.002472695
msgA	1034.38533	1222.173004	846.5976553	0.692698704	-0.529700121	0.000461978	0.002509209
t2222	155.7936077	190.4378474	121.1493681	0.636162243	-0.652533347	0.000464325	0.002518786
aceE	8098.471313	6465.461517	9731.481109	1.505148717	0.589906041	0.000466402	0.002526878
tdcE	198.3200012	156.1210421	240.5189603	1.540592844	0.623485629	0.000472865	0.002558684
t1344	78.03810876	100.7336921	55.34252539	0.54939439	-0.864085915	0.000483134	0.002610979
sdiA	1220.328209	1005.979355	1434.677062	1.426149607	0.512125333	0.00048956	0.002642402
slsA	268.1266412	215.3146818	320.9386007	1.490556046	0.575850623	0.000493452	0.002660083
yieN	811.2417188	949.7617376	672.7217001	0.70830575	-0.49755584	0.000497827	0.002680322
ahpC	3340.285966	4227.028943	2453.54299	0.580441493	-0.784777441	0.000507893	0.00273111
lytB	829.2762623	693.14174	965.4107846	1.392804284	0.477992545	0.000509914	0.002738569
staA	36.42931153	24.18157491	48.67704814	2.012980888	1.009333475	0.000511435	0.002743322
gcvR	1440.636236	1694.904819	1186.367654	0.699961225	-0.51465309	0.000512183	0.002743926
aroP	1206.174666	888.5630166	1523.786315	1.714888293	0.778114603	0.000517407	0.002768478
cheM	1205.410114	829.5377903	1581.282438	1.906221098	0.930715464	0.00052139	0.002786339
garD	256.1316195	207.3745899	304.8886491	1.470231475	0.556043312	0.000528698	0.002821901
t2155	157.083755	125.9127142	188.2547957	1.495121417	0.580262649	0.000530158	0.002822718
yifE	1388.58701	1761.924797	1015.249223	0.57621598	-0.795318424	0.000529557	0.002822718
manZ	2133.817477	1776.341514	2491.293441	1.402485627	0.487985986	0.000530876	0.002823059
yodD	67.28968656	86.74818436	47.83118875	0.55137971	-0.858881915	0.000533617	0.002834141
t0805	604.3586954	484.7141151	724.0032757	1.493670709	0.57886213	0.000536464	0.002845766
t0724	42.89416379	23.2794095	62.50891808	2.685159092	1.425007569	0.000543767	0.002877434
sdhA	18153.08604	14861.94899	21444.2231	1.442894409	0.528965727	0.000543446	0.002877434
t2584	40.13969559	28.03010266	52.24928852	1.864041996	0.898434364	0.000544831	0.002879537
t1516	1346.568526	1587.736287	1105.400765	0.696211817	-0.522401794	0.000553498	0.002921764
t2454	232.8300026	281.2956159	184.3643894	0.655411528	-0.609527047	0.000562252	0.002964354
t4508	286.6418611	346.0458128	227.2379093	0.656670015	-0.606759514	0.000567585	0.002988817
t1486	848.7346399	995.9631822	701.5060976	0.704349428	-0.505636767	0.000568959	0.002992405
t3752	148.1244136	181.7589094	114.4899178	0.629899894	-0.666805526	0.000571394	0.003001556
envE	576.7737229	675.1597248	478.387721	0.708554885	-0.497048486	0.000575633	0.003020149
csgD	157.3683496	194.8454143	119.8912849	0.615314891	-0.700603187	0.000581046	0.003044853
t1157	2611.381186	3220.507224	2002.255148	0.621720433	-0.6856621	0.000583675	0.003054921
atpE	1648.228383	2125.844284	1170.612482	0.55065768	-0.860772358	0.00058743	0.00307085
yicN	154.8932281	191.6270614	118.1593948	0.616611213	-0.69756697	0.000600595	0.003135878
t1515	167.2525607	202.2129412	132.2921801	0.654222125	-0.612147545	0.000606578	0.003163292
t1955	172.5956982	211.3022163	133.8891802	0.633638314	-0.658268521	0.000609031	0.003172252
t1541	2052.801577	1723.193049	2382.410105	1.382555544	0.467337442	0.000609877	0.003172832
t3080	144.1855656	175.4162822	112.954849	0.643924541	-0.63503646	0.00061392	0.003190017
t3158	163.2740224	198.0165511	128.5314937	0.649094699	-0.623499121	0.000615863	0.003196271
glnG	406.0627415	332.6363463	479.4891366	1.441481492	0.527552313	0.000618994	0.003208663
oppD	308.2377019	397.5936817	218.8817221	0.550516098	-0.861143345	0.000621263	0.003216563
yihV	494.2239196	407.5178961	580.929943	1.425532347	0.511500776	0.000627956	0.003243439
t0713	305.7101352	251.9900963	359.4301741	1.426366271	0.512344494	0.000627695	0.003243439
t0619	47.99655345	33.05088364	62.94222326	1.904403644	0.929339295	0.000630456	0.003250144
t1330	1548.047045	1310.444064	1785.650026	1.362629719	0.446393577	0.00063076	0.003250144
t2012	86.11408178	65.20941097	107.0187526	1.641155026	0.714711525	0.000631884	0.003252054
t0458	212.337545	166.713544	257.9615459	1.547334066	0.629784705	0.000640997	0.00329503
yhjY	333.9175736	400.3349598	267.5001874	0.668190926	-0.581667704	0.000642395	0.003298287
cydA	967.8347703	809.8962737	1125.773267	1.390021542	0.475107241	0.000648942	0.003327947
t2027	198.8561568	238.3890467	159.3232669	0.668333	-0.581360983	0.000650128	0.003330074
imp	3653.75427	4320.451224	2987.057316	0.691376239	-0.532457073	0.000663866	0.003396415
wzc	132.5216148	102.0115016	163.0317279	1.598170063	0.676420935	0.000674673	0.003443544
t2895	568.1169495	661.5047881	474.7291108	0.717650302	-0.478647079	0.000674392	0.003443544
ybjG	150.74543	184.2414256	117.2494343	0.636390182	-0.652016517	0.000677482	0.0034538
ileS	3271.16401	2724.121882	3818.206137	1.401628232	0.487103739	0.000683502	0.003472498
ugpB	331.7671663	273.5369934	389.9973392	1.425757205	0.511728323	0.000683563	0.003472498
prpD	317.8830757	176.8071057	458.9590458	2.595817878	1.376189167	0.000682776	0.003472498
t3822	186.6521444	141.4715574	231.8327315	1.638723259	0.712572238	0.000687066	0.003486192
acnA	1508.642062	1253.752832	1763.531292	1.406602041	0.492214216	0.000692212	0.003507486
t2582	68.88344652	50.97099349	86.79589956	1.702848887	0.767950414	0.000692887	0.003507486
rstA	3003.254446	4142.01955	1864.489343	0.45014016	-1.151553812	0.000697193	0.003525153
ecnB	140.3846729	169.9838798	110.7854661	0.651741013	-0.61762931	0.000708837	0.003579836
yiiQ	293.3268063	347.3061961	239.3474165	0.689153891	-0.537101916	0.000711983	0.003591524
t0732	58.4979819	40.4879895	76.50797429	1.88964617	0.91811612	0.00071901	0.003622736
t2717	1411.808768	1699.064252	1124.553285	0.66186625	-0.595388389	0.000738303	0.00371561
aroK	979.7633149	1176.516013	783.0106167	0.665533327	-0.587417183	0.000740242	0.003721031
cheY	363.459422	298.1055951	428.8132489	1.438460921	0.524526028	0.000743254	0.003731827
yijO	440.2195915	289.6874425	590.7517405	2.039272864	1.028054827	0.000746544	0.003743994
t4166	2089.704578	1718.101144	2461.308011	1.432574573	0.51861024	0.000750668	0.003759728
psd	440.3707542	366.7288424	514.012666	1.401615053	0.487090175	0.000751423	0.003759728
t0563	180.5517191	219.8334717	141.2699664	0.642622642	-0.637956282	0.000753355	0.003765031
t1425	176.7565639	146.5022592	207.0108686	1.413021681	0.498783602	0.000755378	0.00377078
t2556	383.3359099	286.5664502	480.1053697	1.675371871	0.744481356	0.000756553	0.003772281
ppc	1963.077309	1657.246358	2268.908259	1.369083267	0.453210194	0.000763366	0.003801863
bisC	730.1982718	605.6375221	854.7590214	1.411337624	0.497063154	0.000764713	0.003804183
t1131	881.6266023	748.773899	1014.479306	1.354853991	0.438137385	0.000769111	0.003821656
prpE	220.89188	146.3592408	295.4245192	2.018489011	1.013275733	0.000770389	0.003823609
yadR	6517.043389	7736.631992	5297.454787	0.684723636	-0.546406281	0.000774865	0.003841407
apt	105.2188601	131.4642874	78.97343288	0.600721568	-0.735231632	0.000777927	0.003852168
t4002	295.9080801	236.4124785	355.4036817	1.503320315	0.58815244	0.000783933	0.003869003
yffH	431.707453	508.1568116	355.2580944	0.699111153	-0.516406244	0.000784015	0.003869003
sapB	492.4406603	408.6516509	576.2296698	1.410075473	0.495772383	0.000783651	0.003869003
t4568	136.2644012	107.5876051	164.9411974	1.533087359	0.616439908	0.000785237	0.003870611
t1122	414.4181041	343.674737	485.1614711	1.41168791	0.497421179	0.000790722	0.0038932
fliM	89.86766725	115.9767085	63.75862598	0.549753712	-0.863142655	0.00081422	0.00400433
sucC	6806.046982	5596.908164	8015.185801	1.432073846	0.518105888	0.000822673	0.004041297
