"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
yaiA	275.3799638	327.7554777	223.0044498	0.680398849	-0.555547394	0.000105507	0.000425775
topB	952.8443498	785.3216608	1120.367039	1.426634581	0.51261585	0.000105704	0.000426171
sseF	3957.841222	5365.126382	2550.556062	0.475395336	-1.072800344	0.000105817	0.00042623
dnaJ	2798.790635	3351.051465	2246.529806	0.670395495	-0.576915641	0.000106532	0.000428708
t3149	843.4230682	984.5564031	702.2897333	0.71330574	-0.487407513	0.000107297	0.000431385
zwf	1669.4208	1412.677105	1926.164494	1.36348532	0.447299167	0.000108307	0.000434636
xapA	25.78996233	13.92998425	37.64994042	2.702798492	1.434453955	0.00010825	0.000434636
t2692	432.4976242	507.2141823	357.7810662	0.705384586	-0.503518044	0.000109624	0.000439513
nth	203.6783034	246.2282297	161.1283771	0.654386287	-0.611785578	0.000109779	0.000439727
ftsH	13264.27598	10556.16196	15972.38999	1.513086863	0.597494812	0.000110361	0.00044165
t1784	1154.590667	1361.131418	948.0499168	0.696516078	-0.521771439	0.000110673	0.000442487
dacA	1002.473191	1283.709238	721.2371443	0.5618384	-0.831772863	0.000110837	0.000442732
t3867	2094.385823	1702.889064	2485.882582	1.45980301	0.545773701	0.000110999	0.00044297
gpsA	1247.737109	1463.583681	1031.890536	0.705043756	-0.504215298	0.000111864	0.000446009
hycG	14.49446965	6.67627348	22.31266583	3.342083858	1.740747933	0.000112058	0.000446372
pduL	16.42745493	8.953833936	23.90107593	2.669367792	1.416498097	0.000112307	0.000446951
t4319	13.948172	5.978734731	21.91760927	3.665927702	1.874178334	0.000114023	0.000453361
mutS	521.3798713	622.8405486	419.919194	0.674200154	-0.568751137	0.000114696	0.000455618
narK	103.7542619	131.4787438	76.02978001	0.578266705	-0.790193056	0.000114926	0.000456113
holC	245.1188349	290.5006987	199.7369711	0.68756107	-0.540440234	0.000117695	0.000466675
waaF	943.755154	1130.451582	757.058726	0.669695844	-0.57842208	0.000118291	0.000468606
t1005	2569.036437	3122.924848	2015.148026	0.645275863	-0.632012034	0.00011866	0.000469638
csiE	845.1626639	1008.861121	681.4642066	0.675478708	-0.566017801	0.000119749	0.000473515
yhdN	685.1825993	803.0907235	567.274475	0.706364124	-0.501516025	0.000120567	0.000476312
malT	7204.486951	8752.403151	5656.570752	0.646287728	-0.629751496	0.000120765	0.000476657
t1196	1876.026624	1554.502039	2197.55121	1.413668915	0.499444277	0.000120883	0.000476689
t3406	187.8997954	129.1406114	246.6589795	1.910003188	0.933575047	0.000121009	0.000476751
pspE	2078.949763	1647.048649	2510.850877	1.524454593	0.608293179	0.000121206	0.000477091
gor	1837.005736	1541.104275	2132.907198	1.384012252	0.468856714	0.000121823	0.000479083
ycbB	691.7146921	812.1699492	571.259435	0.703374258	-0.507635559	0.00012227	0.000480401
yihW	2262.968584	1861.917726	2664.019442	1.430793318	0.516815286	0.000123714	0.000485634
torS	271.8522089	220.1776818	323.5267359	1.469389328	0.555216702	0.000124035	0.00048645
moaC	291.9717135	352.4539655	231.4894615	0.656793466	-0.606488321	0.00012487	0.000489283
aroG	5674.795788	6739.899415	4609.692161	0.683940795	-0.548056651	0.000126419	0.000494903
asrC	126.1702199	97.04239122	155.2980486	1.600311438	0.678352696	0.000127139	0.00049727
t1056	635.2172048	526.7744602	743.6599493	1.411723623	0.497457676	0.000128973	0.000503988
yciC	1619.863928	1911.595219	1328.132637	0.694777129	-0.525377832	0.000129699	0.000506366
t3516	567.2410121	465.8322153	668.6498088	1.43538765	0.521440413	0.000130457	0.000508404
ribA	1740.447943	2053.104831	1427.791056	0.695430177	-0.524022423	0.000130359	0.000508404
aadA	482.326109	584.81841	379.8338081	0.649490169	-0.622620406	0.000130874	0.000509569
gyrA	4260.109073	3512.996856	5007.221289	1.425341808	0.51130793	0.000131296	0.000509833
ssaJ	62343.89198	79462.41897	45225.36499	0.569141559	-0.813140566	0.000131199	0.000509833
bisC	716.1761839	605.6375221	826.7148456	1.365032409	0.448935204	0.000131077	0.000509833
t3219	889.1803279	720.6962372	1057.664419	1.467559235	0.553418736	0.00013155	0.000510362
pheM	30.95497111	44.01975978	17.89018245	0.406412541	-1.298983172	0.000133796	0.000518611
gapA	5493.52258	6611.610842	4375.434317	0.661780377	-0.595575581	0.000134495	0.000520851
livM	55.60172095	31.98392183	79.21952007	2.47685448	1.30850911	0.000137767	0.000533046
t2001	460.7443237	535.0299777	386.4586697	0.72231218	-0.469305596	0.000138264	0.000534487
rplU	1337.080674	1553.710816	1120.450532	0.721144836	-0.471639052	0.000138605	0.000535327
t0017	29.6711042	18.27574236	41.06646603	2.247047766	1.168030792	0.000139985	0.000540175
rlpB	1310.352436	1549.530078	1071.174793	0.691290094	-0.532636843	0.000140748	0.000542632
t1860	594.5593771	489.1964149	699.9223393	1.430759339	0.516781024	0.00014088	0.00054266
hycC	24.90150114	14.44696133	35.35604095	2.44729948	1.291190657	0.000142001	0.000546002
lipA	913.811189	1062.488691	765.1336867	0.720133488	-0.473663738	0.000141902	0.000546002
t1955	177.8737008	211.3022163	144.4451852	0.683595221	-0.548785784	0.000143248	0.000549816
t1841	1073.449945	1295.051139	851.8487518	0.657772289	-0.604339865	0.000143127	0.000549816
t3891	7598.114611	11405.46419	3790.765028	0.332363941	-1.589164226	0.000145292	0.000557169
t2285	854.6327416	699.6143818	1009.651102	1.443153726	0.529224985	0.000146282	0.000560468
gldA	444.2679385	377.4094807	511.1263963	1.354301952	0.437549435	0.000147828	0.000565889
thiH	132.8208846	91.93077528	173.710994	1.889584782	0.918069251	0.000151321	0.000578744
yjfC	301.2042085	237.9622142	364.4462028	1.531529718	0.614973361	0.000155729	0.000595078
t3690	84.8027401	60.18497761	109.4205026	1.818070006	0.862407752	0.000155958	0.000595427
ftsN	1426.414115	1156.504267	1696.323963	1.466768443	0.552641132	0.000158756	0.000605573
t3146	1672.22868	1969.877202	1374.580157	0.697799922	-0.519114659	0.000160653	0.000612269
t1344	77.34283718	100.7336921	53.95198223	0.535590239	-0.900798427	0.000161514	0.000615007
fliS	468.5031533	369.8152137	567.1910929	1.533714871	0.6170303	0.000161687	0.000615124
araE	295.7872828	230.5337694	361.0407963	1.566108068	0.647183768	0.000164397	0.000624883
t4325	4079.050393	3417.584922	4740.515865	1.387095265	0.472066875	0.000165538	0.000628577
t1065	1715.401695	2082.178181	1348.625209	0.647699232	-0.626604061	0.00016566	0.000628577
t1240	272.0813939	320.3967649	223.7660228	0.698402878	-0.51786859	0.000167328	0.000634348
t2805	5125.318087	4025.806071	6224.830102	1.546231982	0.628756784	0.000169946	0.000643708
phsA	1142.51368	957.3780963	1327.649264	1.38675542	0.471713364	0.000170239	0.000644252
t4280	25.20467213	15.68718006	34.72216419	2.21341019	1.146270837	0.000172494	0.000652216
malG	311.3037172	250.5155191	372.0919152	1.485304849	0.570759065	0.000173639	0.000655969
t1444	412.9684415	487.4016115	338.5352714	0.694571506	-0.525804867	0.000174504	0.000658663
t4550	990.6849471	829.8346282	1151.535266	1.38766837	0.472662829	0.000174754	0.000659027
hmpA	1578.544475	1180.263092	1976.825858	1.674902716	0.744077301	0.000175694	0.000660842
mntH	465.4077413	384.0070733	546.8084092	1.423954003	0.509902545	0.000175679	0.000660842
t0871	3463.532245	4119.332681	2807.73181	0.681598702	-0.553005506	0.000175459	0.000660842
pepN	2171.118085	1850.893751	2491.34242	1.346021304	0.428701244	0.000177465	0.000666342
stbB	39.55696097	22.24206777	56.87185416	2.556949954	1.354423924	0.000177353	0.000666342
aroK	1006.655973	1176.516013	836.7959325	0.711249081	-0.491573213	0.000179268	0.000672528
glnQ	798.4989421	955.1292727	641.8686115	0.672022761	-0.573417997	0.000181607	0.000680711
t0735	165.6101567	109.2657022	221.9546112	2.031329197	1.022424062	0.000182123	0.000682053
bcr	315.4834944	371.6176816	259.3493071	0.697892807	-0.518922632	0.000185584	0.000694413
ybiI	189.7321005	234.3872093	145.0769917	0.618962921	-0.692075108	0.000186108	0.00069577
t2004	690.4350755	822.3243554	558.5457957	0.679228083	-0.558031985	0.000187311	0.000699662
t0972	672.3952775	783.7132146	561.0773405	0.715921756	-0.482126174	0.000188225	0.00070247
t2662	104.5837889	76.99072582	132.1768519	1.71678927	0.779712964	0.000191615	0.000714502
sfbB	100.72114	74.809932	126.6323481	1.692721069	0.759344262	0.000191933	0.00071507
carB	435.7695301	365.6735511	505.865509	1.383380087	0.468197595	0.000192106	0.000715098
yceB	1841.199659	2171.594439	1510.804879	0.695712262	-0.523437347	0.000193354	0.000719124
t1443	198.8554337	236.2036698	161.5071976	0.68376244	-0.548432919	0.000195153	0.000725191
t4159	92.61488806	67.83582882	117.3939473	1.730559637	0.791238659	0.000201132	0.000746529
glpF	308.3628237	255.9546078	360.7710396	1.409511799	0.495195554	0.000201241	0.000746529
acnB	13667.00054	11279.93059	16054.07049	1.423241958	0.509180948	0.000202167	0.00074932
t1546	166.1566237	200.1249969	132.1882506	0.660528433	-0.59830743	0.000204004	0.00075548
t1710	1085.82334	1301.339576	870.3071035	0.668777865	-0.580400996	0.000204897	0.000758135
cII	765.286594	485.1152965	1045.457892	2.155070968	1.107735379	0.000205722	0.000760536
rhlE	159.20526	123.6284032	194.7821168	1.575545035	0.655850993	0.00020786	0.000767784
t1073	386.7538917	466.9809639	306.5268194	0.656401102	-0.607350434	0.000208133	0.000768133
air	328.7292205	272.318761	385.1396801	1.414297269	0.50008539	0.000211316	0.000779217
sipA	340.630082	281.6484395	399.6117244	1.418831665	0.504703434	0.00021275	0.000783836
t2110	215.9278002	150.1729715	281.682629	1.875721218	0.907445421	0.000214453	0.000789435
araB	133.9953298	94.97430534	173.0163542	1.821717501	0.865299254	0.000214669	0.000789559
t0680	175.0493534	144.5886555	205.5100512	1.421342846	0.507254593	0.000215177	0.000790752
t1874	1194.17415	1420.392655	967.9556451	0.681470466	-0.55327696	0.000215372	0.000790795
yiaE	738.3617781	626.8328647	849.8906916	1.355848966	0.43919648	0.000221027	0.000810871
fadA	35887.82302	28159.52485	43616.1212	1.548894075	0.631238485	0.000222241	0.000814631
cobC	317.0756115	378.6110004	255.5402226	0.674941358	-0.567165936	0.000222733	0.000815742
t2359	1105.464476	896.3883783	1314.540574	1.466485516	0.552362823	0.000229424	0.000839538
yiaN	85.61306016	63.62261414	107.6035062	1.691277663	0.758113532	0.000230672	0.000843388
ssaG	30254.02551	37299.41583	23208.63519	0.622225166	-0.68449135	0.000234073	0.000855098
hflX	3585.729085	4236.822465	2934.635705	0.692650148	-0.529801253	0.000235269	0.000858741
exbD	325.1383725	265.1787944	385.0979506	1.452220007	0.538260034	0.000235817	0.000860016
dnaE	930.1964858	775.7017451	1084.691227	1.398335421	0.483710464	0.000236214	0.000860736
cysE	1524.585466	1770.34903	1278.821902	0.722355807	-0.469218462	0.00023841	0.000867273
bcfF	45.34293401	31.41250499	59.27336302	1.886935252	0.91604492	0.000238373	0.000867273
tviD	16302.02757	19973.32109	12630.73406	0.632380264	-0.661135752	0.000241648	0.000878312
t2257	61.50887903	44.39872712	78.61903094	1.77074966	0.824360265	0.000242017	0.000878914
phnA	371.9552553	438.7839784	305.1265323	0.695391234	-0.524103214	0.000244547	0.000887357
t1731	1184.719047	1391.851746	977.5863472	0.702363847	-0.509709508	0.000245255	0.000889177
tmk	392.5223813	459.8798249	325.1649378	0.70706502	-0.500085206	0.000246528	0.000893044
copS	329.2697632	402.886308	255.6532184	0.634554249	-0.656184588	0.000246793	0.000893255
t2717	1415.952513	1699.064252	1132.840774	0.666743929	-0.584795312	0.000250552	0.000906102
t4288	172.3435703	136.8361653	207.8509753	1.518976908	0.603099938	0.000254187	0.000918478
folA	445.0839501	539.9375106	350.2303896	0.648649858	-0.624488175	0.00025446	0.000918693
fdhD	793.8971007	665.110128	922.6840735	1.387265108	0.472243515	0.000255769	0.000922649
potC	642.0817008	763.5677352	520.5956664	0.681793694	-0.55259284	0.000256695	0.000925215
t3513	51.75597864	38.10662248	65.4053348	1.716377116	0.779366571	0.000258078	0.000929425
malF	249.9218985	207.0154811	292.8283159	1.414523756	0.500316406	0.000261337	0.000940377
t1055	1576.757725	1859.76717	1293.748281	0.695650672	-0.523565071	0.000262197	0.000942685
yhdJ	130.6763263	160.6047457	100.7479069	0.627303424	-0.672764658	0.000265373	0.000953312
t0561	196.5535169	234.4087057	158.6983281	0.677015504	-0.562739222	0.000266975	0.000958269
t1027	275.48328	342.8425118	208.1240481	0.607054379	-0.720102338	0.000268831	0.000964131
flhB	69.38087037	50.25479178	88.50694895	1.761164375	0.816529567	0.00027368	0.000980706
ybaR	789.9510577	662.9515439	916.9505715	1.383133624	0.467940541	0.000275423	0.000986133
t0730	18.78991241	11.39247415	26.18735067	2.298653508	1.200789015	0.000277516	0.000992804
marR	971.6375353	1116.669417	826.6056541	0.740242046	-0.433931011	0.000280698	0.001003357
fliT	339.4440718	242.6875581	436.2005855	1.797375148	0.845891559	0.000283254	0.001011657
folK	42.01770564	26.21691797	57.81849332	2.20538865	1.14103292	0.000288041	0.001027407
t1799	290.7697024	351.7037856	229.8356192	0.653492025	-0.613758464	0.00028814	0.001027407
deoR	374.7966456	432.7123222	316.880969	0.732313255	-0.449467186	0.000288765	0.001028786
spiC	2632.980657	3099.184909	2166.776404	0.699143958	-0.516338549	0.000290744	0.00103498
copR	551.9054995	655.6509875	448.1600115	0.683534411	-0.548914126	0.000293886	0.001045305
t1933	255.3295191	305.9625333	204.6965048	0.669024741	-0.57986853	0.000294892	0.001048021
t4590	81.88812763	47.33218213	116.4440731	2.460145886	1.298743869	0.000300267	0.001066245
t1507	427.1246733	503.3637273	350.8856193	0.697081653	-0.520600437	0.00030313	0.001075527
t3421	19.6716841	10.96110603	28.38226217	2.589361155	1.372596201	0.000303861	0.001076352
sspA	2858.12426	3366.128682	2350.119838	0.698166963	-0.518356005	0.000303706	0.001076352
spaN	293.1095638	167.1163283	419.1027993	2.50785069	1.326451457	0.000305899	0.001082683
hemB	1403.319565	1651.298808	1155.340322	0.699655517	-0.515283324	0.000307431	0.001087213
t1346	69.52139205	90.85876501	48.18401908	0.530317786	-0.915070961	0.000309149	0.001092395
yhhK	257.5567247	300.8483503	214.2650991	0.712203005	-0.489639572	0.000309782	0.001093735
ppk	1621.267712	1899.94859	1342.586833	0.706643769	-0.500944983	0.000310937	0.001096917
t0419	256.3334496	208.2373261	304.4295731	1.461935661	0.547879821	0.000311833	0.001099181
t4121	468.1496744	540.3230616	395.9762872	0.732850984	-0.448408221	0.000315777	0.001112174
t2583	20.55285058	12.71464947	28.39105169	2.232940181	1.158944603	0.000317168	0.001116163
invE	88.05108176	63.84158549	112.260578	1.75842403	0.814283007	0.000320396	0.001126603
yadE	1262.543708	1490.43564	1034.651776	0.694194199	-0.526588785	0.000321272	0.001128766
yigF	38.96155713	26.67939102	51.24372324	1.920723123	0.941649566	0.000322786	0.001133134
glnG	400.2037014	332.6363463	467.7710565	1.406253591	0.49185678	0.00032304	0.001133134
tviB	18802.45806	25223.11146	12381.80467	0.490891248	-1.026524649	0.00032898	0.001153031
t3975	555.6516145	460.7861968	650.5170322	1.411754598	0.49748933	0.000333011	0.001166212
t1158	298.3989693	223.0260819	373.7718567	1.675910967	0.744945508	0.000341272	0.001194177
yhjN	482.4031982	403.9495699	560.8568265	1.388432786	0.473457338	0.000345493	0.001207966
dgt	899.0967421	758.8149971	1039.378487	1.369738989	0.453901006	0.000345918	0.001208476
cysI	171.7703552	139.1524002	204.3883103	1.46880909	0.554646892	0.000347179	0.001211899
yifE	1394.174878	1761.924797	1026.42496	0.582558894	-0.779524189	0.000350569	0.001222743
t2514	60.16014011	41.45920417	78.86107605	1.902136754	0.927620972	0.000354715	0.001236205
menE	438.9819961	366.4420816	511.5219106	1.395914761	0.481210848	0.000366726	0.001277033
uvrB	1236.649805	1039.176348	1434.123262	1.380057644	0.464728529	0.000374831	0.001304207
lysA	155.5724817	120.9233918	190.2215717	1.573075059	0.65358751	0.000377279	0.001311668
ydhD	4071.835455	4864.983062	3278.687848	0.673936128	-0.569316228	0.000378963	0.001315897
yjbC	896.9687284	1032.555653	761.3818041	0.737376046	-0.439527545	0.000379105	0.001315897
hisD	219.6568735	180.0532954	259.2604516	1.439909506	0.525978145	0.000385448	0.001336839
mepA	231.5412784	185.3724357	277.710121	1.498119825	0.58315302	0.000386797	0.001340441
t1553	719.6064482	836.870733	602.3421634	0.719755321	-0.474421545	0.000391008	0.001353947
t3916	1002.496872	845.6359536	1159.35779	1.370989236	0.455217244	0.000392515	0.001358077
gatA	31.1856676	45.27755771	17.09377749	0.377533117	-1.405324893	0.000392982	0.001358604
dppD	76.75970042	55.89500784	97.62439301	1.746567301	0.804522236	0.00039452	0.001361931
rfbB	2255.338602	2675.050365	1835.62684	0.686202721	-0.543293248	0.000394575	0.001361931
cysJ	98.27790457	74.26103103	122.2947781	1.646823057	0.719685553	0.000401838	0.001385892
nfi	397.1557469	326.1196279	468.1918658	1.435644548	0.521698596	0.000404578	0.001394227
t2894	148.8195256	121.7463453	175.892706	1.44474732	0.530817194	0.000408207	0.001405611
t3871	206.0759526	164.4935858	247.6583193	1.505580403	0.590319755	0.000409345	0.001408407
focA	1875.76889	2202.662547	1548.875232	0.70318317	-0.508027554	0.000412101	0.00141676
t1239	136.9416075	171.2745323	102.6086828	0.599088968	-0.739157829	0.000413482	0.001420379
staG	372.6535337	427.6137269	317.6933405	0.742944673	-0.428673317	0.000414203	0.001421723
t2288	2437.003455	2941.705123	1932.301787	0.656864542	-0.606332206	0.000415301	0.001424361
t3197	176.0635323	139.3254566	212.801608	1.527370612	0.611050171	0.000416113	0.001426011
t3059	406.4030488	329.3253858	483.4807119	1.46809427	0.55394461	0.000416806	0.001427255
bcfD	73.79715467	93.29895434	54.29535501	0.581950306	-0.781032132	0.000424213	0.001451467
cysH	106.349738	78.99569411	133.7037819	1.692545188	0.759194352	0.000425171	0.001453595
aroD	417.1889195	504.0231687	330.3546702	0.655435485	-0.609474312	0.000425642	0.001454052
yfjB	522.459291	606.5663457	438.3522363	0.722678136	-0.468574847	0.000429888	0.001466238
yacG	160.9333069	192.5023039	129.3643098	0.672014346	-0.573436063	0.000429629	0.001466238
iroC	197.7848085	158.8152494	236.7543677	1.490753366	0.576041594	0.000432241	0.0014731
selA	362.9689231	298.6443334	427.2935128	1.430777232	0.516799066	0.000434384	0.001479235
yqcB	181.7081021	137.6211912	225.7950131	1.640699453	0.714310987	0.000434751	0.001479317
sifA	3504.996915	4322.565216	2687.428614	0.621720779	-0.685661297	0.000438776	0.001491838
t3017	63.45155806	81.75492021	45.14819591	0.552238272	-0.856637219	0.000443365	0.001506254
t0572	277.0821762	234.4004703	319.7638821	1.364177648	0.448031529	0.000447257	0.001518282
ygaE	157.7031791	127.288045	188.1183131	1.47789459	0.563543374	0.000449343	0.001524165
t1311	98.91817982	125.4878564	72.3485032	0.576537884	-0.794512685	0.000450218	0.001525935
t4591	146.7864797	116.2464672	177.3264922	1.525435537	0.609221215	0.000452543	0.001532611
gatR	603.9615079	703.8282624	504.0947534	0.716218402	-0.481528508	0.000452914	0.001532666
ccmE	7.420369505	2.980035885	11.86070313	3.980053792	1.99278793	0.000455416	0.001539925
yaaF	797.3579596	679.6483008	915.0676183	1.34638403	0.42908997	0.000460026	0.001554296
apaG	255.8726865	301.9616282	209.7837447	0.694736434	-0.525462337	0.000465314	0.001570934
t0584	147.184551	119.1074854	175.2616166	1.471457616	0.557245988	0.000466772	0.001574627
maeB	3868.081645	3306.146349	4430.016941	1.339933709	0.422161628	0.000468301	0.001578552
fucK	149.8041442	124.3167987	175.2914896	1.410038639	0.495734697	0.000469897	0.001581462
t1428	396.77307	326.3593165	467.1868236	1.431510608	0.517538361	0.000469555	0.001581462
ybjX	10829.84119	13137.71014	8521.972241	0.648664962	-0.624454583	0.000470673	0.00158284
tolB	3352.660377	2832.309507	3873.011247	1.367439271	0.451476763	0.000472025	0.001586151
t1328	477.6303356	557.9466505	397.3140207	0.712100378	-0.489847477	0.000475442	0.00159639
cysK	2264.217639	1920.324252	2608.111027	1.358161791	0.441655351	0.000476411	0.00159716
folD	1007.842658	1211.226071	804.4592456	0.664169361	-0.590376924	0.000476151	0.00159716
rseA	26651.47104	20984.25259	32318.6895	1.54014013	0.62306162	0.000480004	0.001607957
t4254	119.9070096	98.02029224	141.7937269	1.446575231	0.532641355	0.000489333	0.001637939
groEL	13899.1505	17491.83715	10306.46384	0.58921563	-0.763132394	0.000490719	0.001641304
ubiC	1002.014486	1154.555744	849.4732288	0.735757657	-0.442697444	0.000494707	0.001652817
sdaB	1244.020954	1660.780873	827.261036	0.498115705	-1.005447196	0.000494926	0.001652817
t2426	82.54026799	58.58764152	106.4928945	1.817668227	0.862088893	0.000502078	0.001675403
accC	1065.643161	1241.143216	890.1431069	0.717196127	-0.479560398	0.000503328	0.001678278
leuL	30.68744437	19.09236308	42.28252565	2.214630294	1.147065878	0.000505523	0.001682997
t3619	17280.80565	12651.1031	21910.5082	1.731904959	0.792359762	0.000505351	0.001682997
xseA	1329.188958	1524.066072	1134.311844	0.744266843	-0.42610813	0.000508157	0.001690462
t4555	379.6526707	438.4354501	320.8698913	0.731852069	-0.450376032	0.000514077	0.00170884
cysG	539.2540936	460.4478787	618.0603085	1.342302434	0.424709762	0.000528425	0.001755184
t0676	55.51109225	42.41248606	68.60969844	1.617676888	0.693923475	0.000530483	0.001760665
t1864	79.27408748	57.96557356	100.5826014	1.735212734	0.795112546	0.000531153	0.001761537
tktA	5070.548856	4281.133921	5859.963792	1.368787779	0.452898785	0.000532289	0.001763659
t2713	181.5194096	147.0174866	216.0213325	1.469358084	0.555186025	0.00053261	0.001763659
pheT	3747.147718	4382.986926	3111.308509	0.709860322	-0.49439292	0.000537055	0.001777015
t1454	58.04431365	74.2516873	41.83693999	0.563447667	-0.827646475	0.000543068	0.001795533
t2700	161.3830408	189.5023207	133.2637609	0.703230231	-0.507931002	0.00055086	0.001819902
t1497	101.6159672	123.8276278	79.40430669	0.641248711	-0.641044075	0.000553632	0.001827664
t4329	129.2075451	80.1144153	178.3006748	2.225575437	1.154178402	0.000556973	0.001836718
iroD	108.3006321	86.05294942	130.5483147	1.517069614	0.601287288	0.000557226	0.001836718
t3293	1665.020523	1977.880828	1352.160218	0.683640894	-0.548689396	0.000557837	0.001837329
rhaA	34.44466574	22.16267979	46.72665169	2.108348455	1.076113326	0.000558302	0.00183746
yjfI	162.1005867	93.26455062	230.9366229	2.476145774	1.30809625	0.000565243	0.001858887
smp	271.1685991	318.9341872	223.4030109	0.700467431	-0.513610122	0.000566613	0.001861975
t1572	76.71746668	59.06749323	94.36744014	1.597620535	0.675924782	0.000570812	0.001874348
t2553	59.19256532	38.14430199	80.24082866	2.103612453	1.072868942	0.000571471	0.001875085
pta	403.8437521	348.8269134	458.8605907	1.315439185	0.395544552	0.000577007	0.001891811
t3942	2061.741439	2377.517673	1745.965205	0.734364764	-0.445431257	0.000578702	0.001895931
t0724	42.23854938	23.2794095	61.19768927	2.628833402	1.394422716	0.000597173	0.001954961
ada	84.04650943	62.28480983	105.808209	1.698780318	0.764499299	0.000602665	0.001970218
pyrC	287.5774181	240.7091989	334.4456373	1.389417766	0.474480449	0.000602746	0.001970218
t1931	84.98096222	62.7199191	107.2420053	1.709855607	0.773874498	0.000611144	0.001996156
spaM	48.88648717	29.9624581	67.81051624	2.263182681	1.178353041	0.000612727	0.001999816
t3229	117.7355589	94.45943151	141.0116862	1.492828021	0.578047972	0.000617019	0.002012302
ftsL	705.3285467	601.7131225	808.943971	1.344401411	0.426963962	0.000620768	0.002023
astD	73.41960754	57.27919248	89.5600226	1.563569923	0.644843739	0.000627272	0.002042657
dedA	219.8015875	181.5172216	258.0859534	1.421826266	0.507745191	0.000629491	0.002046793
t1730	2679.238096	3223.082024	2135.394169	0.662531749	-0.593938505	0.000629167	0.002046793
t3829	44.66558092	29.30662782	60.02453402	2.048155605	1.034325325	0.000630637	0.002048979
t2153	85.66218798	64.91260076	106.4117752	1.639308454	0.713087339	0.000632073	0.0020521
t1585	651.7102031	776.8693342	526.5510719	0.677785888	-0.561098495	0.000635765	0.002062535
hscA	1886.928032	2179.964188	1593.891877	0.731155074	-0.451750669	0.000640972	0.002077865
pdhR	2182.283411	2556.309398	1808.257424	0.707370331	-0.499462386	0.000650039	0.002104098
kdgR	2756.113812	3185.876358	2326.351265	0.730207643	-0.453621326	0.000649718	0.002104098
cbiB	175.5116646	217.0630467	133.9602825	0.617149186	-0.696308815	0.000653209	0.002112158
t0348	155.4238254	121.6276169	189.2200339	1.555732479	0.637593998	0.000653507	0.002112158
fimA	21.04147319	12.34785929	29.73508709	2.408116776	1.267905354	0.000661026	0.002134861
t4558	35.34712162	23.07965525	47.61458799	2.06305456	1.044781975	0.000687365	0.002218269
yejM	691.241897	800.3718418	582.1119522	0.727301889	-0.459373772	0.00069146	0.002229817
t3063	47.40859716	33.79433737	61.02285696	1.805712486	0.852568199	0.000698726	0.002251566
nuoB	2283.893193	2697.068781	1870.717605	0.693611382	-0.527800521	0.000701575	0.002259061
fic	116.1830467	92.41950536	139.946588	1.514253809	0.59860704	0.000702111	0.002259101
t0506	325.2003563	267.3527243	383.0479883	1.432743912	0.518780766	0.000709649	0.002281656
secE	1563.350549	1305.8027	1820.898397	1.394466712	0.479713496	0.000712876	0.002290325
t4130	16.78101114	9.673688019	23.88833426	2.469413342	1.304168342	0.000714258	0.002293059
rtn	1022.087375	1173.329045	870.8457053	0.742200757	-0.430118623	0.00071664	0.002298998
nfsA	181.8982154	215.17448	148.6219509	0.690704357	-0.53385977	0.000731087	0.002343604
atpB	1912.606644	2360.848794	1464.364494	0.620270344	-0.689030945	0.000741497	0.002373563
thiF	35.88130486	18.85446395	52.90814577	2.80613365	1.488583723	0.000741532	0.002373563
birA	1133.600536	971.6768685	1295.524204	1.333287069	0.41498744	0.000742375	0.002373773
t0086	671.3007897	486.758041	855.8435384	1.758252492	0.814142262	0.000742697	0.002373773
yeeF	272.566052	227.5216734	317.6104306	1.395956816	0.481254312	0.000743323	0.002374014
t3158	163.3484514	198.0165511	128.6803516	0.649846444	-0.621829239	0.000745472	0.002377362
corA	533.0672049	450.0496172	616.0847926	1.368926379	0.45304486	0.000745193	0.002377362
t1229	626.4437177	718.331012	534.5564234	0.744164479	-0.426306566	0.000756728	0.002411478
t2930	138.3182862	112.7583081	163.8782642	1.453358665	0.53939078	0.000760103	0.002420447
t4620	2287.182509	1949.005827	2625.359192	1.347024804	0.429776417	0.00076622	0.002438125
t0505	277.2229795	227.8905668	326.5553922	1.432948264	0.518986523	0.000767703	0.002441047
t2650	43.75929697	32.0285525	55.49004143	1.732517928	0.792870282	0.000771973	0.002452818
t4297	248.8755128	302.7506433	195.0003823	0.644095683	-0.634653073	0.000773236	0.002455023
t1783	549.9618725	660.1772905	439.7464545	0.666103577	-0.586181566	0.000782101	0.002481348
yaeT	5721.955048	4784.117961	6659.792135	1.392062693	0.477224186	0.000786371	0.002493061
dedD	1332.873786	1144.54108	1521.206491	1.329097328	0.410446755	0.000789286	0.002500466
pstB	398.7972969	333.7638326	463.8307612	1.389697492	0.474770873	0.000799082	0.002529645
t4294	129.0744443	152.2548709	105.8940178	0.695504959	-0.523867293	0.000801645	0.002535898
t4480	30.23455125	20.3325818	40.13652069	1.974000207	0.981122141	0.000812015	0.002566822
tviC	9959.285349	12315.63053	7602.940166	0.617340716	-0.69586115	0.000812802	0.002567433
t3412	1402.859137	1077.599988	1728.118286	1.60367326	0.68138023	0.000815556	0.002574247
entF	148.4840613	116.8286407	180.139482	1.541911991	0.624720422	0.000834798	0.002633059
